model,question,question_type,source_id,source_chunk_seq,found_correct_chunk,num_results
emb_essays_all_minilm_22m,What is the main point of the text?,short,119,4,False,10
emb_essays_all_minilm_22m,Who are the recipients of donations mentioned?,short,119,4,False,10
emb_essays_all_minilm_22m,Is being a domain expert necessary for donating?,short,119,4,True,10
emb_essays_all_minilm_22m,What type of donation is recommended?,short,119,4,False,10
emb_essays_all_minilm_22m,What specific scenarios within the philanthropic sphere are being referred to when the statement suggests that donations be unrestricted in order to maximize their effectiveness?,long,119,4,False,10
emb_essays_all_minilm_22m,"In what ways might domain expertise influence the decision-making process regarding charitable donations, potentially altering the outcome of the donation's impact?",long,119,4,True,10
emb_essays_all_minilm_22m,The text implies a contrast between donating to an umbrella organization and making direct donations; how do these two approaches differ in terms of resource allocation and impact on recipients?,long,119,4,True,10
emb_essays_all_minilm_22m,"What are some potential drawbacks or unintended consequences of providing unrestricted donations, and how might these be mitigated by organizations or individuals receiving such funds?",long,119,4,True,10
emb_essays_all_minilm_22m,"What is meant by ""unrestricted"" in the context of donations?",direct,119,4,True,10
emb_essays_all_minilm_22m,"What type of experts are referred to as ""domain experts""?",direct,119,4,False,10
emb_essays_all_minilm_22m,"Who or what is considered an ""umbrella organization""?",direct,119,4,False,10
emb_essays_all_minilm_22m,Why is donating directly to a specific cause rather than to an umbrella organization recommended?,direct,119,4,True,10
emb_essays_all_minilm_22m,What are the potential consequences for charities if donations come with specific restrictions?,implied,119,4,True,10
emb_essays_all_minilm_22m,How might the author's suggestion impact the way individuals think about giving money to charity?,implied,119,4,False,10
emb_essays_all_minilm_22m,"In what ways could the phrase ""unrestricted"" relate to the effectiveness of charitable donations, according to the text?",implied,119,4,True,10
emb_essays_all_minilm_22m,What underlying assumption does the author make about the relationship between donor intent and charitable impact?,implied,119,4,False,10
emb_essays_all_minilm_22m,What's the main implication of the statement made in the text?,unclear,119,4,False,10
emb_essays_all_minilm_22m,"How does the notion of being a ""domain expert"" relate to donations?",unclear,119,4,True,10
emb_essays_all_minilm_22m,"What kind of organizations are considered ""umbrella organizations"" according to this text?",unclear,119,4,False,10
emb_essays_all_minilm_22m,Does the author suggest that all donors should prioritize unrestricted donations?,unclear,119,4,True,10
emb_essays_all_minilm_22m,What is being described in this text?,short,147,8,False,10
emb_essays_all_minilm_22m,How many managers are mentioned in the text?,short,147,8,True,10
emb_essays_all_minilm_22m,Is the group working together or individually?,short,147,8,True,10
emb_essays_all_minilm_22m,What type of freedom does the worker have?,short,147,8,False,10
emb_essays_all_minilm_22m,What does the text suggest is the necessary condition for a group of managers to function seamlessly like a single individual?,long,147,8,True,10
emb_essays_all_minilm_22m,In what specific ways do the workers and their respective managers need to adjust their behavior in order to achieve the desired level of coordination and efficiency?,long,147,8,True,10
emb_essays_all_minilm_22m,"How does the idea that a manager and their team are equivalent to a single person relate to traditional notions of management and organizational structure, according to this text?",long,147,8,True,10
emb_essays_all_minilm_22m,What implications might this concept have for the way companies design their workflows and allocate resources in order to maximize productivity?,long,147,8,False,10
emb_essays_all_minilm_22m,What is the minimum number of managers required for this concept to apply?,direct,147,8,True,10
emb_essays_all_minilm_22m,"How many people in total are being referred to when it says ""a group of 10 individuals""?",direct,147,8,True,10
emb_essays_all_minilm_22m,What type of entity is implied by the statement that a manager and their workers would share only one person's worth of freedom between them?,direct,147,8,True,10
emb_essays_all_minilm_22m,Is the idea being described a management structure or an economic model?,direct,147,8,False,10
emb_essays_all_minilm_22m,What are the consequences of treating a team of managers as a single individual in terms of their decision-making power?,implied,147,8,True,10
emb_essays_all_minilm_22m,"How does the concept of shared ""freedom"" impact the autonomy of both managers and their respective groups of workers?",implied,147,8,True,10
emb_essays_all_minilm_22m,"In what ways might the analogy of a group working like one person be overly simplistic, potentially leading to misunderstandings or misapplications?",implied,147,8,True,10
emb_essays_all_minilm_22m,What implications does this idea have for the way organizations design and implement decision-making structures?,implied,147,8,False,10
emb_essays_all_minilm_22m,What does it mean for groups within a larger collective to function independently?,unclear,147,8,True,10
emb_essays_all_minilm_22m,Can we consider individual components when analyzing the overall performance of this group structure?,unclear,147,8,False,10
emb_essays_all_minilm_22m,How do the relationships between managers and their subordinates impact the efficiency of the entire organization?,unclear,147,8,True,10
emb_essays_all_minilm_22m,Does the concept of shared responsibility imply a loss of autonomy among workers?,unclear,147,8,False,10
